roaster,name,link,price,altitude,varietal,processing,estate,roast_level,tasting_notes,description,country,scraped_at,transformed_at,location,producers,aroma,acidity,body,other_properties
savorworks,Phenom,https://www.savorworksroasters.com/products/phenom,695,1000,sln-6,yeast inoculated natural,mooleh manay,MEDIUM,"pink guava , orange marmalade , plum , banana","savorworks x mooleh manay ! a collaboration that has been in the works for 4 years and it ' s shaping up to be something truly "" phenomenal "" . this year ' s phenom promises an extraordinary experience as we proudly announce our partnership with mooley manay estate , situated near the beautiful backwaters of the harangi reservoir in coorg , karnataka . producers komal and akshay dashrath have masterfully embraced a data - driven approach to farming and coffee processing . their unwavering belief in the pivotal role of data in optimizing agricultural techniques and ensuring the utmost quality in coffee production is truly inspiring . this coffee is a 64 hours yeast inoculated - natural . the process begins with hand - picking ripe coffee cherries and floating them in water . ripe , denser cherries sink , while unripe or damaged ones float and are removed . the coffee is then placed in sealed tanks for a controlled , anaerobic fermentation lasting 64 hours , during which a custom yeast culture is introduced to the coffee . after fermentation , the coffee is transferred to a polyhouse and spread on raised drying beds . it is regularly raked to ensure even drying , which continues until the coffee reaches a specific moisture level ( around 12 - 11% ) . once dry , the coffee is bagged and stored for 2 months before further processing . facts : origin : mooleh manay estate altitude : 1000 masl varietal : sln - 6 process : 64 hours yeast inoculated - natural roast level : medium roast rite color ( whole bean ) : 64 roast rite color ( ground ) : 75 feels : tasting notes : pink guava , orange marmalade , plum and banana . acidity : juicy body : medium aftertaste : very long phenom",india,2024-10-03 02:05:09.449361,2024-10-10 04:24:38.649565,"coorg, karnataka","akshay dashrath, komal sable",,juicy,"juicy , medium",very long aftertaste
savorworks,Honey I'm Nuts,https://www.savorworksroasters.com/products/honey-im-nuts,540,1350,"sln-9, sln-795","anaerobically fermented , sequential washed , washed",ratnagiri,MEDIUM,"muskmelon , milk chocolate , roasted almonds , toffee","coffee that ' s bound to drive you nuts and keep you buzzing for more ! these coffees have been carefully grown and nurtured at ratnagiri estate in chikmagalur , karnataka , which has a long and faithful global following . coffee cherries were picked at a brix of 23 and before pulping of the cherry , the beans were anaerobically fermented for 24 hours in sealed tanks . after the pulping , beans were fermented again for 38 hours making it a process of double or what we call sequential washed fermentation . this washed process brings out a very balanced cup with a lot of subtle flavours , crisp acidity , and silky body , with flavours like muskmelon , milk chocolate , roasted almonds , and toffee . its uniqueness is bound to make it a daily "" caffeine quencher "" to keep you buzzing and drive you nuts with every sip . facts : origin : ratnagiri estate altitude : 1350 masl varietal : sln - 9 & sln - 795 process : sequential washed process feels : tasting notes : muskmelon , milk chocolate , roasted almonds , and toffee . acidity : citric body : juicy aftertaste : medium roast rite color ( whole bean ) : 64 roast rite color ( ground ) : 76 roast level : medium free shipping pan india on all coffee . honey i ' m nuts",india,2024-10-03 02:05:09.449361,2024-10-10 04:24:38.649565,"chickmagaluru, karnataka",ashok patre,,citric,silky,medium aftertaste
savorworks,Heisenberg,https://www.savorworksroasters.com/products/heisenberg,795,1450,sln-9,"natural , fruit infused carbonic maceration",riverdale,LIGHT,"fig , cranberry , roasted pineapple , port wine","heisenberg is more than just a coffee ; since its explosive debut in 2020 , this coffee has become an addiction . just like walter white ' s unforgettable meth , heisenberg will keep you coming back for more , creating a bond that ' s as strong as the cravings it ignites . heisenberg is renowned for his meticulous methods and ensures this coffee will blow you away . with his vast expertise and dedication , mr . prakashan balaraman from riverdale estate has meticulously harvested and processed the beans to perfection . to bring out the best in every batch , we introduce jesse pinkman , aka trader mr . baninder kochar , whose skill in profile roasting adds a unique touch to our coffee . together , they ensure every cup you brew will be an exceptional experience that exceeds all expectations . this coffee continues our love for natural processed coffees because of its complexity in both flavor and its aromatic notes . the ripened cherries are hand - picked and triple - washed to remove all the floaters from the cherries . they are then processed in purpose - built tanks where co2 is introduced to flush out the oxygen from the tanks to ferment the cherries for longer . the second stage of fermentation is introducing yeast along with various fruits such as pineapple , peach , red fruit , watermelon , and grapes for 14 days when the fermentation happens slowly . the yeast thrives in the low oxygen environment and helps develop complex fruit notes . once the fermentation is complete , cherries are slowly dried on raised beds to remove excess water and improve air circulation for even drying . this process is complex and delicate . it took 4 years of research with the wine industry for the heisenberg of the indian coffee industry to get the right level of flavor . with the aroma of figs , this coffee is a fruit party with tasting notes of fig , cranberry , roasted pineapple , and port wine . experience the special formula that heisenberg has implemented this time . facts : origin : riverdale estate altitude : 1450 masl varietal : sln - 9 process : fruit infused carbonic maceration feels : tasting notes : fig , cranberry , roasted pineapple , port wine acidity : malic body : heavy aftertaste : very high roast rite color ( whole bean ) : 74 roast rite color ( ground ) : 86 roast level : light heisenberg",india,2024-10-03 02:05:09.449361,2024-10-10 04:24:38.649565,"yercaud, tamil nadu",prakashan balaraman,,malic,heavy,very high aftertaste
savorworks,Vienna - Dark Roast,https://www.savorworksroasters.com/products/vienna-dark-roast,500,1450,"sln-9, sln-795",mixed fruit fermented natural,riverdale,DARK,"roasted hazelnut , dark chocolate , raisin","the darkest roast from us , this blend has coffee beans from karnataka and tamil nadu , has high body , low acidity , and is a excellent choice for people who want to have a strong cup , with the characteristic bittersweet notes . the vienna roast is best enjoyed with milk . the beans have been roasted to the higher side of medium to bring out the notes of roasted hazelnut , dark chocolate , and raisin . this one is perfect for espresso - based drinks , french press , and other immersion brews . facts : origin : riverdale estate altitude : 1450 masl varietal : sln - 9 & sln - 795 process : mixed fruit fermented naturals feels : tasting notes : roasted hazelnut , dark chocolate , raisin acidity : low body : high aftertaste : long roast rite color ( whole bean ) : 57 roast rite color ( ground ) : 65 roast level : dark free shipping pan india on all coffee . vienna - dark roast",india,2024-10-03 02:05:09.449361,2024-10-10 04:24:38.649565,"yercaud, tamil nadu",prakashan balaraman,,low,"low , heavy",long aftertaste
savorworks,Boss's Wife - House Blend,https://www.savorworksroasters.com/products/bosss-wife-house-blend,525,1400,,washed,"ratnagiri, riverdale",MEDIUM,"orange marmalade , strawberry , dark chocolate , toffee","well , it ' s a house blend and since everything in the house has to be controlled by the wife , this one is no different . this is going to sound really lame , but when i was single my pick - up line was , "" if you were a coffee , what would you be ? "" well , it worked , because that’s exactly the line i used on my wife when i first met her . she said she would rather be an espresso , which is sweet so that she blends in with everyone and has a long - lasting effect on everyone . this blend is inspired by her and will woo you the same way she wooed me . we bet you will never taste espresso as sweet and complex as this . this coffee will keep you safe because it ' s easy to make delicious coffee with this blend , and since it is named after the real boss , we can never go wrong . almost all men would agree with that . blend : riverdale washed and ratnagiri anaerobic black honey . tasting notes : orange marmalade , strawberry , dark chocolate and toffee roast level : medium free shipping pan india on all coffee . boss ' s wife - house blend",india,2024-10-03 02:05:09.449361,2024-10-10 04:24:38.649565,"chickmagaluru, karnataka, yercaud, tamil nadu","ashok patre, prakashan balaraman",,,,""
savorworks,Blue Sky - Mixed Naturals - 48 Hours,https://www.savorworksroasters.com/products/blue-sky,575,1450,"sln-9, sln-795",mixed fruit fermented natural,riverdale,MEDIUM,"watermelon , peach , dried apricot , walnut","blue sky - substance produced by heisenberg what was a mistake last year has been done intentionally this year . ripe cherries are hand - picked and triple washed to remove any floaters and defective beans . cherries are then fermented aerobically for 48 hours in the presence of mixed fruits namely watermelon , pineapple , grape , cherry and papaya . a fruit forward natural coffee that has the tasting notes of watermelon , peach , dried apricot & walnut this coffee . it has a rich and creamy body which makes it an absolute treat across all brewing methods with its versatility . facts : origin : riverdale estate altitude : 1450 masl varietal : sln - 9 & sln - 795 process : mixed fruit fermented naturals feels : tasting notes : watermelon , peach , dried apricot & walnut acidity : malic body : medium - heavy aftertaste : very long roast rite color ( whole bean ) : 64 roast rite color ( ground ) : 75 roast level - medium size - 250 gms free shipping pan india on all coffee . blue sky - mixed naturals - 48 hours",india,2024-10-03 02:05:09.449361,2024-10-10 04:24:38.649565,"yercaud, tamil nadu",prakashan balaraman,,malic,"rich , creamy",very long aftertaste
savorworks,Fruits Bomb,https://www.savorworksroasters.com/products/fruits-bomb,795,1350,catuai,"thermal shock , yeast fermented thermal shock",ratnagiri,MEDIUM_LIGHT,"red apple , raspberry , sapota , white daisy","unconventional , everyone ' s favourite , our highest seller and rightfully a bomb . that is fruitsbomb for you and this time is thermal shocked . this is a 76 - hour extended yeast fermented thermal shock natural processed coffee . it is from the catuai varietal grown on our farm at 4400 feet from the block called jeri patte . the brix of the coffee cherries was 24 . 6 when harvested and put in the stainless - steel fermenters after the floater removal . a particular yeast strain was added to the coffee in the fermenters and allowed to ferment for 76 hours in a carbon dioxide - rich environment . after reaching the desired ph value the coffee is subjected to a rapid heating process to a particular temperature and then allowed to remain for 10 minutes . immediately after that , the coffee is cooled rapidly using chilled water . this process of thermal shock induces extremely complex flavours . the coffee is then put directly on raised beds for slow drying . the coffee was dried slowly with constant stirring over the next 26 days . facts : estate : ratnagiri estate altitude : 1350 meters varietal : catuai process : thermal shock roast level - medium light roast rite color ( whole bean ) : 76 roast rite color ( ground ) : 88 feels : tasting notes : red apple , raspberry , sapota & white daisy body : juicy aftertaste : super sweet fruits bomb",india,2024-10-03 02:05:09.449361,2024-10-10 04:24:38.649565,"chickmagaluru, karnataka",ashok patre,,,juicy,super sweet aftertaste
savorworks,Riverdale - Medium to Dark Roast,https://www.savorworksroasters.com/products/riverdale-medium-dark-roast,525,1450,,washed,riverdale,MEDIUM_DARK,"nougat , mosambi , cherry , black raisin , cashew nut","we are thrilled to announce that the new harvest of riverdale coffee beans has finally arrived , and it ' s time to savor the rich flavors that await you . riverdale estate holds a special place in our hearts as it marks the very beginning of savorworks . it is where our journey began , and it ' s an honor to bring you the fruits of our labor from this remarkable farm . the washed coffee from riverdale estate is where we started the savorworks journey . the beans have been roasted to the higher side of medium to bring out the notes of nougat , mosambi , cherry , black raisin and cashew nut . this one is perfect for espresso - based drinks , french press , and other immersion brews . feels : tasting notes : nougat , mosambi , cherry , black raisin and cashew nut acidity : citric body : heavy aftertaste : syrupy facts : roast rite color ( whole bean ) : 59 roast rite color ( ground ) : 66 roast level : medium dark free shipping pan india on all coffee . riverdale - medium to dark roast",india,2024-10-03 02:05:09.449361,2024-10-10 04:24:38.649565,"yercaud, tamil nadu",prakashan balaraman,,citric,"syrupy , heavy",syrupy aftertaste
savorworks,Blue Sky - Mixed Naturals,https://www.savorworksroasters.com/products/blue-sky,540,1450,"sln-9, sln-795",mixed fruit fermented natural,riverdale,MEDIUM,"chamomile , red grape , blueberry , butterscotch","blue sky - substance produced by heisenberg our love for riverdale estate is no more an unknown quantity and we are back to what we do best . and that is to make great coffees . what happens when a worker at the hulling station accidentally ends up mixing all the fruit fermented naturals coffee ( watermelon , papaya , pineapple , and grape ) from the riverdale estate together . we get a substance that is as addictive as the original heisenberg . a fruit forward natural coffee having a floral aroma of chamomile and mixed berries , and tasting notes of red grape and blueberry , this coffee is a fruit party . it has a rich and creamy body of butterscotch which makes it an absolute treat across all brewing methods with its versatility . facts : origin : riverdale estate altitude : 1450 masl varietal : sln - 9 & sln - 795 process : mixed fruit fermented naturals feels : tasting notes : chamomile , red grape , blueberry and butterscotch acidity : malic body : medium - heavy aftertaste : very long roast rite color ( whole bean ) : 62 roast rite color ( ground ) : 74 roast level - medium size - 250 gms free shipping pan india on all coffee . blue sky - mixed naturals",india,2024-09-06 00:27:34.140828,2024-10-10 04:24:38.649565,"yercaud, tamil nadu",prakashan balaraman,,malic,creamy,very long aftertaste
rossette,Kerehaklu Koji Naturals,https://rossettecoffee.com/products/kerehaklu-koji-naturals,350,1120,sln-9,koji feremented natural,kerehaklu,MEDIUM,sake wine,"the koji processed robusta from kerehaklu estate delivers a smooth yet flavour packed brew which transports you to japan . the cocoa forward brew is complimented by velvety body and sake wine - like acidity and mild spiced finish . enjoy this unique offering as a pourover , mokapot , clever dripper or as a french press . kerehaklu koji naturals",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka","ajoy thipaiah , pranoy thipaiah",,like,velvety,""
