name,price,link,tasting_notes,elevation,varietal,planters,processing,roast,description
venkids valley estate - the red honey - light roast,rs. 575.00,https://bloomcoffeeroasters.in/collections/coffee/products/venkids-valley-estate-the-red-honey,"mango, hibiscus and butterscotch",1000 masl,catuai,mr pavan nanjappa,red honey,light,"elevation: 1000 masl
variety: catuai
processing: red honey
roast: light
producers: mr pavan nanjappa
tasting notes: mango, hibiscus and butterscotch
we along with so many others have swooned for two seasons over the incredible yellow honey that pavan produces every year. this year, the team at the venkids valley estate decided to take their catuai a step further, from a yellow honey process to a red honey process and take our word for it, this is an exceptional coffee. with the new process, the coffee has become slightly sweeter with more intense flavours and a richer mouthfeel.
we have roasted this pretty lightly to let the coffee, and the process really shine through and take the centre stage. with sweet notes of mango, rich butterscotch and delicate hints of hibiscus this coffee makes an incredible filter coffee that we're sure you'll absolutely enjoy!"
pulney coffee (washed) - pulney hills - medium roast,rs. 550.00,https://bloomcoffeeroasters.in/collections/coffee/products/pulney-coffee-washed-pulney-hills-medium-roast,"citrus fruits, cherries, and nuts",4920 ft.,chandragiri and sl9,mr. h.r. iyer,washed,medium,"farm: laks farm, pachalur village
planter: mr. h.r. iyer
elevation: 4920 ft.
variety: chandragiri and sl9
processing: washed
roast: medium
tasting notes: citrus fruits, cherries, and nuts
originating from one of the highest growing regions in tamil nadu, these coffees are dense and have a beautiful aftertaste because of the high growing region. the laks farm is completely organic and devoid of any chemical pesticides and fertilisers. the coffees are intercropped with oranges, cardamom, pepper and banana. the beans of the highest brix are identified (colour coded bands are given to workers at the estate to pick the cherries). they are sorted for defects twice before using the penagos washer + pulper. floats are removed and the coffee beans with little bit of mucilage are dried on raised beds. they are exposed to the morning sun for the first two days and then completely dried in shade for a period of 20-25 days.
mr. iyer is without doubt one of the sweetest and most earnest people we have encountered in coffee and with passion and efforts of viggnesh in processing, this coffee was one of the best washed coffees we tasted this year! this medium roast has sweet notes of cherry, and nuts with a mild citrus acidity, and works really well both black and with milk, as a filter or an an espresso! "
venkids valley estate (washed) – coorg - medium dark roast,rs. 490.00,https://bloomcoffeeroasters.in/collections/coffee/products/venkids-valley-estate-medium-dark,"mexican chocolate, caramel, and orange zest",3600 ft.,sln6,,washed,medium,"elevation: 3600 ft.
varietal: sln6
processing: washed
roast: medium
tasting notes: mexican chocolate, caramel, and orange zest
a short, scenic drive from madikeri, past a rivulet or two, leads you to the charming “papakuchi coffee” by venkids valley estate, where you are welcomed by pavan and his wife shilpa. the estate spreads across 200 acres, and is divided into “patte” or fields, named aptly by the workers. imagine being able to spot the exact patch of land your coffee was grown on. yes, that’s the level of traceability pavan is able to achieve at this estate.
this sln6, grown in the “kenjipatte” is roasted to slightly darker than a medium (some might even call it a medium) to really enhance the syrupy body and the notes of caramel which are offset by the a splash of orange zest. pretty great for filters, great for espresso!
pick you grind and brew away!"
papakuchi coffee (washed) - coorg (light roast),rs. 500.00,https://bloomcoffeeroasters.in/collections/coffee/products/papkuchi-coffee-washed-coorg-light-roast,"malt, red apple, pomegranate juice",3600 ft.,sln6,,washed,light,"elevation: 3600 ft.
varietal: sln6
processing: washed
roast: light
tasting notes: malt, red apple, pomegranate juice
for those who know, pavan and shilpa nanjappa's magnificent coffee estate, the venkids valley estate, goes by the name of “papakuchi coffee”. as we all know by now, they grow some super duper delicious arabicas as well as robustas that have received so much love from everyone who has had them over the last year. 
when we got this year’s washed arabica and did our profiling process we realised that this coffee had somehow become sweeter and even more yummy than the year before, and to our sheer joy it really stood out as a light roast!! with sweet notes of red apple and pomegranate juice, a subtle acidity, and a pretty rich body this light roast is a great addition filter coffee lover. the best part, this coffee will be available throughout the year, and if we have it our way, forever and ever!"
salawara estate – chikmaglur - dark roast,rs. 475.00,https://bloomcoffeeroasters.in/collections/coffee/products/salawara-estate-dark-roast,"caramel, milk chocolate, subtle hints of citrus",3130 ft.,,,washed,dark,"tasting notes: caramel, milk chocolate, subtle hints of citrus
elevation: 3130 ft.
varietal:
processing: washed
roast: dark
spread across 400 acres in the fabled hills of chikmaglur, the salawara estate was started in 1880, and produces some delicious arabicas and robustas that have won various awards in india and abroad. this washed arabica grown at 3130 ft. tastes of the rich terroir of the estate, dotted with exotic herbs and spices that are grown alongside the coffee. the coffee is roasted darker than our medium to bring out more of the delicious milk chocolate"
vin van gogh - medium roast,rs. 480.00,https://bloomcoffeeroasters.in/collections/coffee/products/vin-van-gogh,"berries, almonds, and spiced chocolate",3200-4250 ft.,"sl6, sln9, sln5b",pavan najappa and navin rajes,washed,medium dark,"elevation: 3200-4250 ft.
varietal: sl6, sln9, sln5b
planters: pavan najappa and navin rajes
processing: washed
roast: medium dark
tasting notes: berries, almonds, and spiced chocolate
the origin of this blend goes a fair way back to when pavan (venkids valley estate) and navin (moganad estate) were schoolmates and were busy making plans for the world domination of indian speciality coffee! little did they know then, that the catalyst for this would be small roastery out of chandigarh, of all the places who would put their two phenomenal washed arabicas together in a top secret ratio, name it after the one of the greatest painters of all time, which is also a word play on their names, and make it the most the delicious, versatile blend to have ever come out of the greater chandigarh region! pavan and navin still remain very tight, and share flights, coffees, jokes, and the roasters they choose to work with! thankfully, they both agreed to partner with us, which in turn enabled us to come up with this super tasty, bright like a red vineyard, over the cafe terrace at night, lit up by the starry night
all stories aside our vin van gogh is our answer to a coffee blend that does everything very very well! it makes a great fruity filter coffee, as well the perfect espresso to have as it is, or a lovely fluffy cappuccino! pick the grind of your choice, and bask in the glory of vin’s and van’s artistry!"
kenny ji - the cold brew blend,rs. 480.00,https://bloomcoffeeroasters.in/collections/coffee/products/kenny-ji-the-cold-brew-blend,,,,,,,"bright | smooth | easy
“you don’t have to wait” any longer for the bloom coffee roasters cold brew blend. “the promise” that this holds is that, be it in “the morning” or “in the rain” or at the “end of the night” you will “forever be in love” with the smooth silky “silhouette” of this delicious coffee. from “the moment” you’ll have your first sip “by the time it’s over”, it’ll leave you “breathless” and wanting more. 
made from a top secret blend coffees, specially roasted for cold brew. it is so smooth that you might even find yourself listening to kenny g’s greatest hits …hit the sax!
"
ro-busta rhymes - dark roast,rs. 440.00,https://bloomcoffeeroasters.in/collections/coffee/products/ro-busta-rhymes-medium-dark-roast,,3300 ft. – 4500ft.,"arabica s795, robusta","navin rajes, and pavan nanjappa",washed arabica and naturals robusta,medium dark," elevation: 3300 ft. – 4500ft.
varietal: arabica s795, robusta
planters: navin rajes, and pavan nanjappa
processing: washed arabica and naturals robusta
roast: medium dark
this blend features the lovely washed arabica from the moganad estate, and the natural processed robusta from the venkids valley estate. but beware, if you’re expecting a bitter, boring blend, this will let you down! ro-busta rhymes is a super duper tasty blend that really brings the best out both species of the coffees, but what’s really interesting is that acidity and the sweetness in this blend comes a great deal from the robusta! we recommend you try this blend black just to really get a feel of what the robusta brings to it!"
satchmo - dark roast,rs. 470.00,https://bloomcoffeeroasters.in/collections/coffee/products/satchmo-dark-roast,"chocolate, dark caramel, and hints of citrus",3200-3400 ft.,sl6 & sl9,pavan nanjappa & sharan gowda,washed,medium dark,"elevation: 3200-3400 ft.
varietal: sl6 & sl9
planters: pavan nanjappa & sharan gowda
processing: washed
roast: medium dark
tasting notes: chocolate, dark caramel, and hints of citrus
chocolate, dark caramel and hints of citrus, sounds to us like one of the magnificent trumpet solos of the one the only louis armstrong! for us, louis armstrong a.k.a. satchmo is the epitome of balance, with a voice that can go from a deep, rich gravel to almost fragile falsettos. every moment of every song is filled with gorgeous melody, depth and genius improvisations!
“satchmo” the blend, just like it’s muse, has pitch perfect sweetness, a deep body that swells like a crescendo, and a subtle “vibratoesque” citrus acidity. a coffee that goes not toe to toe, but “cheek to cheek” with all accompaniments. the blend is on the darker side of a medium, and has the richness of chocolate and dark caramel, and a raspy acidity that can cut through whatever you throw at it, yes we’re looking at you milk and sugar. satchmo makes the perfect espressos, moka pots, french presses, south indian filters, and what not, to get you a coffee that’ll make you see sit across and think “what a wonderful world”"
bcr custom sample pack of 3,rs. 450.00,https://bloomcoffeeroasters.in/collections/coffee/products/bcr-custom-sample-pack-of-3,,,,,,,"can't quite make up your mind about which our delicious coffees would be your idea? commitment phobic?? don't worry about it, let us help you out! choose three coffees you think you'll like, and the grind size you need, and we'll send 75 gram samples of those coffees to help you pick your one or maybe even two true loves!
this sample pack includes all our medium, medium dark and dark roasts, but not the light roasts. click here to check out the light roast sampler."
