Name,Price,Link,Tastes Like,Roasting Profile,Varietal,Altitude,Process,Estate Name,Producer Name,Description
Baarbara Estate Washed Process,Rs. 510.00,https://corridorseven.coffee/collections/all/products/baarbara,"Caramel, Hint Of Clove and White Chocolate",Espresso Profile ( Medium Roast ),SLN-795,1524 MASL,Washed,,,"Tastes Like- Caramel, Hint Of Clove and White Chocolate || Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal- SLN-795 || Altitude- 1524 MASL || Process- Washed || Harvest Year- 2023 || Location- Chikmagalur || 100% Arabica
Our relation with this estate goes back to the days when our founder (with literally no money) hopped on to a bike and traveled to this estate just to establish a strong direct and transparent bond."
Cold Brew Blend - Regular ( March Mellow),Rs. 550.00,https://corridorseven.coffee/collections/all/products/marching,"Apricot, Light Body and Orange zest",Filter ( Light To Medium Roast ),,1524-1650 MASL,Blended,,,"Tastes Like- Apricot, Light Body and Orange zest || Roasting Profile- Filter ( Light To Medium Roast ) || Altitude- 1524-1650 MASL || Process- Blended || Harvest Year- 2023 || 100% Arabica
This Cold Brew Blend had made a comeback after you guys requested. It comes back with a slight modification and improved blending. Well next wave of coffee is here right!  Has a rounded acidity and balanced body. It is a blend of Washed and a Natural process."
Vienna Roast,Rs. 460.00,https://corridorseven.coffee/collections/all/products/vienna,"Cacao nibs, dark chocolate and long finsh",Espresso ( Dark Roast ),"Catura, SLN- 795",1260MASL,Washed Arabica,,,"Tastes Like- Cacao nibs, dark chocolate and long finsh || Roasting Profile- Espresso ( Dark Roast ) || Varietal- Catura, SLN- 795 || Altitude- 1260MASL || Process- Washed Arabica || Harvest Year- 2023 || Location - Chikmagalur
Welcome to the dark side of coffee! Well in all honesty we dont judge and believe to each their own. Frankly any Coffee Roasted this dark shall taste the same since the sugars get caramelized to an extent that you shall find Smoky - Toasty - Roasty notes. People love it and we love you legends."
French Roast,Rs. 460.00,https://corridorseven.coffee/collections/all/products/french,"Bold, smokey and heavy bodied",Roasting-Espresso  ( Dark Roast ),Catura,1260MASL,WashedArabica,,,"Tastes Like- Bold, smokey and heavy bodied || Roasting Profile- Espresso Profile ( Dark Roast ) || Varietal- Catura || Altitude- 1260MASL || Process- Washed Arabica || Harvest Year- 2023 || Location- Chikmagalur  || 100% Arabica
It just gets Darker here now. A few degrees darker than Vienna profile. We stretch this coffee beyond the 2nd Crack ( what is a crack in coffee - blogs up soon here) Also a few seconds longer and we might get fire in our drum! So we be real careful ;) Further roasting after 2nd crack carbonizes some of the fibers in the coffee beans."
August Rush Blend,Rs. 570.00,https://corridorseven.coffee/collections/all/products/august-rush,"Prunes, Soft Finish and Toasted Almonds",Espresso Profile ( Medium Roast ),SLN 795 & SLN9,1450-1524 MASL,Blended,,,"Tastes Like- Prunes, Soft Finish and Toasted Almonds || Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal- SLN 795 & SLN9 || Altitude- 1450-1524 MASL || Process- Blended || Harvest Year- 2022-23 || Location- India (various parts) || 100% Arabica
 
This is our in house blend that we have been working with for a long while now!Deciding it is time that this needs to be up and running for you all :) It is something that will suit real well to for the café owners as the daily driver."
Ratnagiri Estate Washed Process,Rs. 550.00,https://corridorseven.coffee/collections/all/products/ratnagiri-estate-washed-process,"Plum, Brown Sugar and Green Apple's Dryness",Espresso ( Medium Roast ),Catuai,1350MASL,Washed,,,"Tastes Like - Plum, Brown Sugar and Green Apple's Dryness || Roasting Profile - Espresso ( Medium Roast ) || Varietal - Catuai || Altitude - 1350MASL || Process - Washed || Harvest Year - 2023 || 100% Arabica 
This process has made this bean complex yet smooth on the palate. The drying on raised beds has ensured that this coffee receives even drying. We loved both the espresso ( a lungo / long shot) and also a pourover + inverted aeropress."
Barista Forte Blend,Rs. 510.00,https://corridorseven.coffee/collections/all/products/barista-forte,"Cacao, Nutmeg and traces of Bayleaf",Espresso Profile ( Medium Roast ),Washed,1450-1524 MASL,Blended,,,"Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal- Washed || Altitude- 1450-1524 MASL || Process- Blended || Tastes Like- Cacao, Nutmeg and traces of Bayleaf || Harvest Year- 2023 || Location- India (various parts) || 100% Arabica
 
We have been working on this blend for a while now!This blend is any barista's best friend. It is a perfect blend for any home brewer with an espresso machine or a professional Barista. It highlights the notes of Cacao, nutmeg and finishes with traces of Bayleaf."
Riverdale Estate - Geisha,Rs. 900.00,https://corridorseven.coffee/collections/all/products/riverdale-estate-geisha,"Jasmine Tea Like Aroma, Honeysuckle, Macerated Plums & Muskmelon",Filter ( Light Roast ),:Geisha,1450 MASL,Carbonic Maceration,,Mohan & Prakashan Balaraman,"Tastes Like - Jasmine Tea Like Aroma, Honeysuckle, Macerated Plums & Muskmelon  ||  Roasting Profile - Filter ( Light Roast ) || Altitude - 1450 MASL || Location: Yercaud, Tamil Nadu || Varietal:  Geisha  || Process - Carbonic Maceration || Producer Name - Mohan & Prakashan Balaraman || 100% Arabica
Roasting First Batch on 5th July 2024 
About the coffee ~
It’s 10,000 km journey of a seed from Panama to India, that’s now our pride. Meet the Riverdale Geisha, cultivated by the Balaraman brothers in the Shevaroy Hills. This treasure grows at 1450 MASL, nurtured with passion. With cherries boasting 30 brix and above, meticulously handpicked, and processed through carbonic maceration for 72 hours, promising an unmatched coffee experience.  
It’s a champion’s choice for a reason! Geisha was used by our Founder & CEO, Mithilesh Vazalwar in the World Barista Championship 2022.  
Get ready to experience the revolution.P.S. It opens up better when it cools down."
Gungegiri Estate - Honey Sundried Process,Rs. 600.00,https://corridorseven.coffee/collections/all/products/sangameshwar-estate-honey-sundried-process,"Grape juice, Light bodied, Raisins sweetness",Filter,SLN9,1350 MASL,Honey Sun Dried,Gungegiri Estate,Hamsini Appadurai,"Tastes Like - Grape juice, Light bodied, Raisins sweetness || Roasting Profile - Filter || Varietal - SLN9 || Altitude - 1350 MASL || Process - Honey Sun Dried || Estate Name - Gungegiri Estate || Producer Name -  Hamsini Appadurai || Harvest Year - 2023 - 2024 
Producers Note - 
The cherries are pulped and then fermented with their mucilage in a restricted-oxygen environment. The coffees are then slow dried on raised beds with regular aeration & consistent rolling. 
Roasters Note -  
This coffee, a honey sun dried, is complex and beautiful.  Roasted to be a filter roast, this coffee was introduced to a comparatively lower temperature and roasted with an objective to develop the complex flavours of the bean. Perfect for a drip method, this coffee boasts the tasting notes of Grape Juice, Raisin like sweetness and has a light body."
Cold Brew Blend - Light,Rs. 550.00,https://corridorseven.coffee/collections/all/products/cold-brew-blend-light,"Pomelo sweetness, Light body and rounded",Filter,,,Blended,,,"Tastes Like- Pomelo sweetness, Light body and rounded || Roasting Profile - Filter  || Process- Blended || 100% Arabica 

The Perfect Cold Brew Experience
Cold Brew Light is crafted for those who seek a different kind of cold brew experience. This blend brings out fruity and floral notes, offering a taste ideal for those who enjoy a lighter roast. Perfect for experimental palates, this blend caters to those looking for something new and different in their cold brew."
