URL,Name,Description,Region,Process,Altitude,Best with,Tasting Notes,Price
https://kcroasters.com/products/kelagur-ultra-dark-coffee,Kelagur Washed | Ultra Dark Roast Coffee | NEW HARVEST !,"an ultra dark,buttery coffee that helps us ease into the day smoothly.this washed coffee comes from kelagur estates situated at 3500 feet.kelagur estates is a member of specialty coffee association of india(scai)and exports most of its coffee to australia,germany,sweden and switzerland.it also has its own pulping and curing facilities that ensure coffee is always processed at peak freshness for optimum flavour.region-chikmagalur,karnataka process-washed parchmentaltitude-3500 feet best with-espresso,french press,south indian filter,moka pot,electric brewer,cold brewcupper&#39;s notes-roasted chestnuts,almond&amp;cocoa.note-our fresh coffee beans are roasted in mumbai,daily.-all our single origin arabica coffees go through testing and quality checks at the farm and roast level to ensure a quality and delicious cup each time.","chikmagalur,karnataka",washed parchment,3500 feet,"espresso,french press,south indian filter,moka pot,electric brewer,cold brewcupper&#39;s","roasted chestnuts,almond&amp;cocoa.",'750'
https://kcroasters.com/products/winter-espresso-blend-dark-roast-coffee,Winter Espresso Blend | Dark Roast Coffee | NEW HARVEST !," a robust blend for those crisp winter mornings!meet our winter espresso blend,a robust dark roast coffee made for espresso and milk coffee lovers!this is also the first time that we have made a blend of robusta&amp;arabica coffee.our winter espresso blend brews a bold cup that pairs beautifully with milk.we recommend brewing it in an espresso machine,moka pot,electric brewer,or french press.best with-espresso,moka pot,electric brewer cupper&#39;s notes-almond oil,cocoa&amp;caramelnote-our fresh coffee beans are roasted in mumbai,daily.-all our single origin arabica coffees go through testing and quality checks at the farm and roast level to ensure quality and a delicious cup each time.",,,,"espresso,moka pot,electric brewer cupper&#39;s","almond oil,cocoa&amp;caramel",'750'
https://kcroasters.com/products/santhagiri-dark-roast-coffee,Santhagiri | Dark Roast Coffee | NEW HARVEST !,"this dark roast has some inherently sweet notes of vanilla and toffee,with a dense mouthfeel of dark chocolate fudge.we&#39;ve worked very closely with santhagiri estate over the years to experiment with processes and methods to produce a coffee that is inherently sweet.and we couldn&#39;t be more pleased with this year&#39;s harvest!what&#39;s special?santhagiri is a jaggery fermented coffee that boasts inherently sweet notes.this washed coffee comes from melkodige/santhagiri estate situated at 4000 feet.this estate has won the aaa sustainable coffee award in the past and is one of the top biodiversity hotspots in the world.region-chikmagalur,karnataka process-jaggery fermented,washed parchmentaltitude-4000 feet best with-moka pot,espresso,aeropress,v60,french presscupper&#39;s notes-vanilla toffee&amp;dark chocolate fudge.note-our fresh coffee beans are roasted in mumbai,daily.-all our single origin arabica coffees go through testing and quality checks at the farm and roast level to ensure a quality and delicious cup each time.","chikmagalur,karnataka","jaggery fermented,washed parchment",4000 feet,"moka pot,espresso,aeropress,v60,french presscupper&#39;s",vanilla toffee&amp;dark chocolate fudge.,'750'
https://kcroasters.com/products/shield-10-by-kerehaklu-medium-roast-coffee-new-launch,Shieldtail10 | Dark Roast Coffee | NEW HARVEST !," this year we’ve got shieldtail 10 from kerehaklu which is a sequentially fermented washed coffee.this unique two-step fermentation has resulted in some intricate flavors.this dark roast coffee is quite nutty and chocolaty.enjoy this full-bodied cup today!what&#39;s with the name?a snake named shieldtail 10 whose tail and head look similar and often appears during the harvest season.farmers usually say shieldtail accompanies all of them during the harvest season.region-chikmagalur karnatakaprocess-washed parchmentaltitude-3750ftbest with-moka pot,clever dripper,aeropress,french pressabout the notes-shieldtail 10 dark roastchocolate fudge,oak,almond rocher,pearnote-a lot of precision and care goes into roasting and cupping all our coffees.-like all our coffees,this coffee is roasted fresh and shipped to you in bio-degradable bags within 24 hours of roasting it.",chikmagalur karnataka,washed parchment,3750ft,"moka pot,clever dripper,aeropress,french pressabout the","shieldtail 10 dark roastchocolate fudge,oak,almond rocher,pear",'750'
https://kcroasters.com/products/ratnagiri-washed-medium-dark-roast-coffee,Ratnagiri Washed | Medium - Dark Roast Coffee | NEW HARVEST !,"creamy,with an after taste of strawberry jam,introducing,for the first time ever,ratnagiri estate.roasted medium-dark this fruity delight is best had black.spread over 117 hectares,ratnagiri has an impressive yield of quality specialty coffee successfully inter-cropped with fine pepper.ratnagiri literally means pearl mountains,and the dense silver oaks that tower over remarkably flavourful shade-grown coffee give a silvery hue to the hills illustrating the name.region-chikmagalur,karnataka process-washed parchmentaltitude-4000 feet best with-clever dripper-pourover,aeropress,v60,french press,moka potcupper&#39;s notes-cocoa butter cream&amp;strawberry jam.note-our fresh coffee beans are roasted in mumbai,daily.-all our single origin arabica coffees go through testing and quality checks at the farm and roast level to ensure a quality and delicious cup each time.","chikmagalur,karnataka",washed parchment,4000 feet,"clever dripper-pourover,aeropress,v60,french press,moka potcupper&#39;s",cocoa butter cream&amp;strawberry jam.,'750'
https://kcroasters.com/products/best-medium-roast-coffee,Red Honey By Kelagur Estate | Medium Roast Coffee,"the name comes from this coffee’s cherries and the way the coffee bean is processed.coffee cherries are picked when they’re fully red in colour(separating them from the yellow,unripe cherries).the cherries are then washed and each coffee bean is shade processed.shade processing slows down the drying time,resulting in higher fermentation of the beans giving this coffee a sweeter taste(almost like adding a drop of honey)making it one of our best medium roast coffees.region-chikmaglur,karnatakaprocess-honey sun-driedaltitude-3500 feet best with-moka pot,pour over,french press,espresso,electric brewercupper&#39;s notes-red apple,sweet spices,&amp;jaggerynote-we highly recommend trying red honey,as an espresso coffee or an french press.-all our coffees are packed in bio-degradable packs and shipped within 24 hours of roasting.","chikmaglur,karnataka",honey sun-dried,3500 feet,"moka pot,pour over,french press,espresso,electric brewercupper&#39;s","red apple,sweet spices,&amp;jaggery",'750'
https://kcroasters.com/products/kelagur-natural-medium-dark-roast-coffee,Kelagur Natural | Medium Roast Coffee,"a comforting,earthy coffee that helps us ease into the day smoothly.this natural sun-dried coffee comes from kelagur estates situated at 3500 feet.kelagur estate is a member of specialty coffee association of india(scai)and exports most of its coffee to australia,germany,sweden and switzerland.it also has its own pulping and curing facilities that ensure coffee is always processed at peak freshness for optimum flavour.region-chikmagalur,karnataka process-natural sun-driedaltitude-3500 feet best with-espresso,french press,south indian filter,moka pot,electric brewer,coldbrewcupper&#39;s notes-papaya,apple,guava&amp;red currantnote-our fresh coffee beans are roasted in mumbai,daily.-all our single origin arabica coffees go through testing and quality checks at the farm and roast level to ensure a quality and delicious cup each time.","chikmagalur,karnataka",natural sun-dried,3500 feet,"espresso,french press,south indian filter,moka pot,electric brewer,coldbrewcupper&#39;s","papaya,apple,guava&amp;red currant",'750'
https://kcroasters.com/products/arabica-coffee,Purple Project By Kelagur Estate | Medium Roast Coffee,"purple project brews a high bodied,thick,and complex cup bursting with intrigue.what&#39;s so special?coffee cherries start to bloom and turn red when they ripen.we&#39;ve handpicked the biggest,ripest,juiciest coffee cherries to bring you this complex coffee.we gave these cherries a little more time till they were purple and full of flavour.we picked the coffee and slow dried it on african raised drying beds.these fresh coffee beans are then roasted to perfection and each batch is cupped to ensure the most consistent taste and quality.region-chikmaglur,karnatakaprocess-natural sun-driedaltitude-3500 feet best with-espresso,aeropress,south indian filter,moka pot,electric brewercupper&#39;s notes-cacao,blackberries&amp;peachnote-a lot of precision and care goes into roasting and cupping all our coffees.-like all our coffees,this coffee is roasted fresh and shipped to you in bio-degradable bags within 24 hours of roasting it.","chikmaglur,karnataka",natural sun-dried,3500 feet,"espresso,aeropress,south indian filter,moka pot,electric brewercupper&#39;s","cacao,blackberries&amp;peach",'750'
https://kcroasters.com/products/snakehead-10-medium-light-roast-coffee-1,Snakehead 10 by Kerehaklu | Medium-Light Roast Coffee," exclusive kcroasters release!after the immense love that we received for sheildtail 9&amp;sheildtail 10,we saved this exclusive release for international coffee day.what&#39;s in the name?reptilian by name,reptilian at first sight-but actually a fish.snakeheads are the most common and dominant group of air-breathing freshwater fish in india-and ones that have piqued our communal ecological interests.in the coffee yard,we took it up a notch this season with this naturally processed coffee-using our spring water-the habitat for kerehaklu’s snakeheads.we can honestly say that these are the best coffees ever produced-and only apt to name it after the‘murrel’as we call it in kannada.the snakehead is an indigenous fish to india which are present in these very spring water-fed lakes within kerehaklu-giving it its namewhy the&#39;10&#39;in the name?the 10 in the name actually refers to the selection 10 varietal that we have chosen exclusively for you all.this lot is a carefully processed selection 10 from the nandi block of kerehaklu.the plants are intercropped with citrus,below a canopy of fig trees.the snakehead natural process was undertaken where the fruits were first harvested selectively from the bushes and a ripe-only approach.these were then brought back,rinsed thoroughly with floats removed.following that,the fruits fermented in whole-fruit but under spring water and within barrels-with certain parameters regularly checked.these were then dried on raised beds for ten days with regular raking and sorting.region-chikmaglur,karnatakaprocess-washed parchmentaltitude-3750 feet best with-clever dripper,aeropress,v60,french press,electric brewercupper&#39;s notes-smoked pineapple,jackfruit,applenote-a lot of precision and care goes into roasting and cupping all our coffees.-like all our coffees,this coffee is roasted fresh and shipped to you in bio-degradable bags within 24 hours of roasting it.","chikmaglur,karnataka",washed parchment,3750 feet,"clever dripper,aeropress,v60,french press,electric brewercupper&#39;s","smoked pineapple,jackfruit,apple",'750'
https://kcroasters.com/products/new-in-ratnagiri-naturals-medium-light-roast-coffee,Ratnagiri Naturals | Medium - Light Roast Coffee," we bring to you our unique ratnagiri naturals coffee.a beautiful coffee from ratnagiri estate with astonishingly fruity&amp;caramel notes,this medium-light roast bursts with a divine fruity complexity.it is the closest brew we have had to our famous amrut cask aged®coffee.spread over 117 hectares,ratnagiri has an impressive yield of quality speciality coffee successfully inter-cropped with fine pepper.ratnagiri literally means pearl mountains,and the dense silver oaks that tower over remarkably flavourful shade-grown coffee give a silvery hue to the hills illustrating the name.region-chikmagalur,karnataka process-natural-sundriedaltitude-4000 feet best with-clever dripper-pourover,aeropress,v60,french presscupper&#39;s notes-cherry,peach,kumquats,mangosteen and caramelnote-our fresh coffee beans are roasted in mumbai,daily.-all our single origin arabica coffees go through testing and quality checks at the farm and roast level to ensure quality and a delicious cup each time.","chikmagalur,karnataka",natural-sundried,4000 feet,"clever dripper-pourover,aeropress,v60,french presscupper&#39;s","cherry,peach,kumquats,mangosteen and caramel",'750'
https://kcroasters.com/products/copy-melkodige-honey-medium-dark-roast-coffee,Melkodige Natural | Medium Roast Coffee,"this medium roast has notes of chocolate fudge,black forest cherry,hazelnut toffee,blackberry.we&#39;ve worked very closely with melkodige estate over the years to bring some of the best-tasting coffees.hailing from melkodige estate we&#39;ve got this very fruity naturals coffee.hailing at an elevation of 4000 ft,the coffees here are complex tasting and delicate.we&#39;ve experimented with the roast profile and made it medium to enhance its sweetness and nutty undertones.region-chikmagalur,karnatakaprocess-honey sun-driedaltitude-4000 feetbest with-pour-over,aeropress,v 60cupper&#39;s notes-chocolate fudge,black forest cherry,hazelnut toffee,blackberrynote-our fresh coffee beans are roasted in mumbai,daily.-all our single origin arabica coffees go through testing and quality checks at the farm and roast level to ensure a quality and delicious cup each time.","chikmagalur,karnataka",honey sun-dried,4000 feet,"pour-over,aeropress,v 60cupper&#39;s","chocolate fudge,black forest cherry,hazelnut toffee,blackberry",'750'
