name,url,process,roast,location,altitude,varietal,rest_time,price,description
Kerehaklu Koji Naturals,https://rossettecoffee.com/products/kerehaklu-koji-naturals,Koji Feremented Naturals,Medium,"Aldur, Karnataka",1120 MASL,TR9,10-12 Days,Rs. 350.00,"The koji processed robusta from Kerehaklu estate delivers a smooth yet flavour packed brew which transports you to Japan. The cocoa forward brew is complimented by velvety body and sake wine-like acidity and mild spiced finish. Enjoy this unique offering as a pourover, mokapot, clever dripper or as a french press. "
Ratnagiri Koji Naturals ( Brewers Cup Winning Profile ),https://rossettecoffee.com/products/ratnagiri-koji-naturals-brewers-cup-winning-profile,Koji Feremented Naturals,Light,"Chikmagalur, Karnataka",1450 MASL,SLN 9,7 Days,Rs. 850.00,"The second of our Koji series is aerobically processed naturals from Ratnagiri Estate, where the koji spores have been inoculated onto sanitized cherries in aerobic condition and then dried carefully for an extended period on raised beds. The resultant coffee has been roasted light to get a juicy and sweet brew. The cup offers a vibrant malic acidity coming from the apples complimented by a Goji Berries and Peach Wine Acidity a sweet finish. This coffee is best enjoyed as a pourover, aeropress or as an espresso
 "
Harley Rum Aged,https://rossettecoffee.com/products/harley-rum-aged,Rum Aged,Medium,"Sakleshpur, Karnataka",1050 MASL,SLN 9,8-10 Days,Rs. 900.00,"Speciality washed coffee from Harley estate has been aged with rum to enhance the inherent fruitiness and bring out the sweet flavours of rum &amp; raisin.
The resultant coffee develops a good body with notes of ripe blueberries with a citrus finish.
This coffee has a long lasting finish which shall linger on your palate with a creamy texture."
Melkodige Lot 28,https://rossettecoffee.com/products/melkodige-lot-28,Cima Yeast Inoculated Naturals,Light,"Chikmagalur, Karnataka",1280 MASL,SLN 9,15-18 Days,Rs. 400.00,"Launching a fruity and a funky light roast naturals from our latest partner farm Melkodige Estate. Aveen the producer is known to produce top notch naturals and pushing the boundaries with post-harvest processing, for this lot the ripest SLN 9 cherries with brix levels ranging between 20-24% were selectively hand-picked. The cherries were then soaked in water to cool them and remove the lighter and single seeded beans. The cherries are then surface dried and then moved into food grade containers to undergo anaerobic fermentation. While dropping the fruits into the container the cherries are inoculated with special cima yeast by using a atomiser. This breaks down the sugars present in the beans into complex compounds called esters which impart a complex aroma and flavor to the beans. If you have previously liked our lots such as DN 29 you will surely love this lot too.
The resultant cup is red fruit forward with crisp acidity, big boozy body and a lingering winey finish and is suitable for manual brews such as pourover, French press, chemex and Aeropress.
"
Kerehaklu Red Honey Peaberry,https://rossettecoffee.com/products/kerehaklu-red-honey-peaberry,Anoxic Red Honey,Light,"Aldur, Karnataka",1200 MASL,SLN 9,10-15 Days,Rs. 400.00,"Introducing first of this year’s lots from Kerehaklu Estate. This is an anoxic red honey processed nanolot by Pranoy Thipaiah which has been sequentially fermented for 66 hrs and only peaberry’s are retained which adds to the round body and sweetness of the cup. Experience a delicate tea-like, floral profile with notes of marigold, wild honey, black tea, and mosambi.Light roasted to 13% DTR with a shorter Maillard phase and a quick roast , this coffee is perfect for brewers who love a floral light roast with plethora of sweetness, a round body and crisp acidity.
Pro tip: for manual brews such as v60 please use a water temperature  of 88ºc .
"
Melkodige Anaerobic Naturals,https://rossettecoffee.com/products/melkodige-anaerobic-naturals,Anaerobic Naturals,Light-Medium,"Chikmagalur, Karnataka",1280 MASL,SLN 9,12-15 Days,Rs. 350.00,"""Melkodige Anaerobic Naturals"" is a light-medium roasted coffee with an average 15% DTR with notes of raspberry, red apple, and black forest pastry, scoring 85+ on SCA standards. It has a medium body and bright malic acidity, ideal for both espresso and filter brews. The anaerobic process, meaning oxygen-deprived, involves fermenting intact coffee cherries in sealed barrels with water for 48 to 72 hours, creating unique flavors."
Attikan Yeast Fermented Honey,https://rossettecoffee.com/products/atikkan-yeast-fermented-honey,Yeast Fermented Honey,Medium,"Biligiri Hills,Karnataka",1650 MASL,SLN 9,10-12 Days,Rs. 350.00,"Presenting our latest medium roast honey process coffee from Biligiriranga Hills, introducing the popular Attikan Estate from the house of Sangameshwar group. This is a unique microlot where the cherries are pulped and fermented with saccharomyces yeast with mucilage intact followed by extended drying for a period of 16 days on raised beds. The resultant cup offers a unique flavour profile with sparkling acidity and a round body and sweetness. This is an Omni roast and is suitable for both espresso and manual brews.
"
Equinox,https://rossettecoffee.com/products/equinox,Washed + Honey + Monsoon,Espresso,"Biligiri Hills, Karnataka",1650 MASL,"SLN 795,13",7-10 Days,Rs. 500.00,"This unique arabica blend is an amalgamation of 3 different coffees with 3 distinct processing techniques namely washed, honey and monsooned. The resultant cup is balanced with  notes of hazelnut, chocolate, and cane syrup, complemented by a soft finish. Equinox offers medium acidity and a medium body, creating a rich and smooth espresso experience that’s perfect for any time of day.
"
Truffle Twilight,https://rossettecoffee.com/products/truffle-twilight,Washed,Espresso,"Chikmagalur, Karnataka",1650 MASL,SLN 795,7-10 Days,Rs. 500.00,"Our bestseller blend which combines two washed coffees one from Baarbara Estate and another one from Attikan Estate roasted to a medium- dark level to offer a fudgy chocolate like coffee with heavy body, minimal acidty and dried fruit overtones. This blend pairs extremely well with milk and is suitable for espresso , mokapot and French press brews.
"
Dawn Cold Brew Blend,https://rossettecoffee.com/products/dawn-cold-brew-blend,Washed + Naturals + Honey,Medium-Light,"Chikmagalur, Karnataka",1370 MASL,"SLN 13,9,795",5-17 Days,Rs. 500.00,"Here's our take to offer you something refreshing , introducing Dawn, a vibrant cold brew blend which offers a combination of funky yet complex palette with a citrusy long finish . This blend features 3 uniquely processed coffees from our newest partner farm Unakki Estate, Chikmagalur. The coffee starts with balanced notes of chocolate with naturals adding to the fruity and berry notes and complimented by the sweet and citrus notes offered by the black honey coffee. This is sure pleaser for our cold brew fans but also works well across other manual brewing methods.
"
