roaster,name,link,price,altitude,varietal,processing,estate,roast_level,tasting_notes,description,country,scraped_at,transformed_at,location,producers,coffee_type,aroma,acidity,body,other_properties
savorworks,Blue Sky - Mixed Naturals,https://www.savorworksroasters.com/products/blue-sky,540,1450,"sln - 9 & sln - 795 , butterscotch , 795 , very , sln - , 9","mixed fruit fermented naturals , mixed fruit fermented naturals","riverdale estate , riverdale",MEDIUM,"chamomile , red grape , blueberry and butterscotch","blue sky - substance produced by heisenberg our love for riverdale estate is no more an unknown quantity and we are back to what we do best . and that is to make great coffees . what happens when a worker at the hulling station accidentally ends up mixing all the fruit fermented naturals coffee ( watermelon , papaya , pineapple , and grape ) from the riverdale estate together . we get a substance that is as addictive as the original heisenberg . a fruit forward natural coffee having a floral aroma of chamomile and mixed berries , and tasting notes of red grape and blueberry , this coffee is a fruit party . it has a rich and creamy body of butterscotch which makes it an absolute treat across all brewing methods with its versatility . facts : origin : riverdale estate altitude : 1450 masl varietal : sln - 9 & sln - 795 process : mixed fruit fermented naturals feels : tasting notes : chamomile , red grape , blueberry and butterscotch acidity : malic body : medium - heavy aftertaste : very long roast rite color ( whole bean ) : 62 roast rite color ( ground ) : 74 roast level - medium size - 250 gms free shipping pan india on all coffee",india,2024-09-06 00:27:34.140828,2024-09-15 02:38:01.694048,,,,,malic,creamy body,very long aftertaste
savorworks,Boss's Wife - House Blend,https://www.savorworksroasters.com/products/bosss-wife-house-blend,525,,,,"ratnagiri , riverdale",MEDIUM,"orange marmalade , strawberry , dark chocolate and toffee","well , it ' s a house blend and since everything in the house has to be controlled by the wife , this one is no different . this is going to sound really lame , but when i was single my pick - up line was , "" if you were a coffee , what would you be ? "" well , it worked , because that’s exactly the line i used on my wife when i first met her . she said she would rather be an espresso , which is sweet so that she blends in with everyone and has a long - lasting effect on everyone . this blend is inspired by her and will woo you the same way she wooed me . we bet you will never taste espresso as sweet and complex as this . this coffee will keep you safe because it ' s easy to make delicious coffee with this blend , and since it is named after the real boss , we can never go wrong . almost all men would agree with that . blend : riverdale washed and ratnagiri anaerobic black honey . tasting notes : orange marmalade , strawberry , dark chocolate and toffee roast level : medium free shipping pan india on all coffee",india,2024-09-10 19:25:44.149554,2024-09-15 02:38:01.694048,,,,,,,""
savorworks,Fruits Bomb,https://www.savorworksroasters.com/products/fruits-bomb,795,1350,"catuai , catuai","thermal shock , thermal shock , yeast fermented thermal shock","ratnagiri estate , ratnagiri",MEDIUM_LIGHT,"red apple , raspberry , sapota & white daisy","unconventional , everyone ' s favourite , our highest seller and rightfully a bomb . that is fruitsbomb for you and this time is thermal shocked . this is a 76 - hour extended yeast fermented thermal shock natural processed coffee . it is from the catuai varietal grown on our farm at 4400 feet from the block called jeri patte . the brix of the coffee cherries was 24 . 6 when harvested and put in the stainless - steel fermenters after the floater removal . a particular yeast strain was added to the coffee in the fermenters and allowed to ferment for 76 hours in a carbon dioxide - rich environment . after reaching the desired ph value the coffee is subjected to a rapid heating process to a particular temperature and then allowed to remain for 10 minutes . immediately after that , the coffee is cooled rapidly using chilled water . this process of thermal shock induces extremely complex flavours . the coffee is then put directly on raised beds for slow drying . the coffee was dried slowly with constant stirring over the next 26 days . facts : estate : ratnagiri estate altitude : 1350 meters varietal : catuai process : thermal shock roast level - medium light roast rite color ( whole bean ) : 76 roast rite color ( ground ) : 88 feels : tasting notes : red apple , raspberry , sapota & white daisy body : juicy aftertaste : super sweet",india,2024-09-10 19:25:44.149554,2024-09-15 02:38:01.694048,jeri patte,,,,,juicy,super sweet aftertaste
savorworks,Heisenberg,https://www.savorworksroasters.com/products/heisenberg,795,1450,"sln - 9 , 9 , sln","fruit infused carbonic maceration , natural processed , fruit infused carbonic maceration","riverdale estate , riverdale",LIGHT,"fig , cranberry , roasted pineapple , port wine","heisenberg is more than just a coffee ; since its explosive debut in 2020 , this coffee has become an addiction . just like walter white ' s unforgettable meth , heisenberg will keep you coming back for more , creating a bond that ' s as strong as the cravings it ignites . heisenberg is renowned for his meticulous methods and ensures this coffee will blow you away . with his vast expertise and dedication , mr . prakashan balaraman from riverdale estate has meticulously harvested and processed the beans to perfection . to bring out the best in every batch , we introduce jesse pinkman , aka trader mr . baninder kochar , whose skill in profile roasting adds a unique touch to our coffee . together , they ensure every cup you brew will be an exceptional experience that exceeds all expectations . this coffee continues our love for natural processed coffees because of its complexity in both flavor and its aromatic notes . the ripened cherries are hand - picked and triple - washed to remove all the floaters from the cherries . they are then processed in purpose - built tanks where co2 is introduced to flush out the oxygen from the tanks to ferment the cherries for longer . the second stage of fermentation is introducing yeast along with various fruits such as pineapple , peach , red fruit , watermelon , and grapes for 14 days when the fermentation happens slowly . the yeast thrives in the low oxygen environment and helps develop complex fruit notes . once the fermentation is complete , cherries are slowly dried on raised beds to remove excess water and improve air circulation for even drying . this process is complex and delicate . it took 4 years of research with the wine industry for the heisenberg of the indian coffee industry to get the right level of flavor . with the aroma of figs , this coffee is a fruit party with tasting notes of fig , cranberry , roasted pineapple , and port wine . experience the special formula that heisenberg has implemented this time . facts : origin : riverdale estate altitude : 1450 masl varietal : sln - 9 process : fruit infused carbonic maceration feels : tasting notes : fig , cranberry , roasted pineapple , port wine acidity : malic body : heavy aftertaste : very high roast rite color ( whole bean ) : 74 roast rite color ( ground ) : 86 roast level : light",india,2024-09-10 19:25:44.149554,2024-09-15 02:38:01.694048,,mr . prakashan balaraman,,,malic,heavy,very high aftertaste
bloom_coffee_roasters,cascara (coffee cherry tea) - salawara estate - chikmagalur,https://bloomcoffeeroasters.in/collections/coffee/products/cascara-salawara-estate-chikmagalur,250,,,washed,salawara,,"honey , sugar , lemon","cascara , also known as “coffee cherry tea” is the outer skin of the coffee cherry that is removed to get the seed out during processing . for it to turn into cascara , this is then washed , cleaned and then sun - dried to make a super fruity funky smelling product ! cascara which tastes nothing like coffee , and somewhat like tea , is loaded with antioxidants and very low on caffeine ! this cascara comes from our friends at the salawara estate in chikmagalur and is one of the most delicious versions we’ve ever tried . recipes : brew 4 tbsp cascara with 1 cup ( 200ml ) of water boiling water and steep for 4 mins and filter the cascara using a sieve . add sugar/honey to taste , and add a splash of lemon to really make take it up a notch ! each pack is 75 grams",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,chikmagalur,,,,,,""
savorworks,Honey I'm Nuts,https://www.savorworksroasters.com/products/honey-im-nuts,515,1350,"sln - 9 & sln - 795 , 9 , 795 , sln","sequential washed , sequential washed , washed , anaerobically fermented","ratnagiri estate , ratnagiri",MEDIUM,"green grapes , white florals , milk chocolate , roasted almonds , and sugarcane","coffee that ' s bound to drive you nuts and keep you buzzing for more ! these coffees have been carefully grown and nurtured at ratnagiri estate in chikmagalur , karnataka , which has a long and faithful global following . coffee cherries were picked at a brix of 23 and before pulping of the cherry , the beans were anaerobically fermented for 24 hours in sealed tanks . after the pulping , beans were fermented again for 38 hours making it a process of double or what we call sequential washed fermentation . this washed process brings out a very balanced cup with a lot of subtle flavours , crisp acidity , and silky body , with flavours like green grapes , white florals , milk chocolate , roasted almonds , and sugarcane . its uniqueness is bound to make it a daily "" caffeine quencher "" to keep you buzzing and drive you nuts with every sip . facts : origin : ratnagiri estate altitude : 1350 masl varietal : sln - 9 & sln - 795 process : sequential washed process feels : tasting notes : green grapes , white florals , milk chocolate , roasted almonds , and sugarcane . acidity : citric body : juicy aftertaste : medium roast rite color ( whole bean ) : 64 roast rite color ( ground ) : 76 roast level : medium free shipping pan india on all coffee",india,2024-09-10 19:25:44.149554,2024-09-15 02:38:01.694048,"chikmagalur , karnataka",,,,citric,silky body,medium aftertaste
savorworks,Phenom,https://www.savorworksroasters.com/products/phenom,695,1000,"sln - 6 , very , sln",64 hours yeast inoculated - natural,"mooleh manay estate , mooley , mooleh",MEDIUM,"pink guava , orange marmalade , plum and banana","savorworks x mooleh manay ! a collaboration that has been in the works for 4 years and it ' s shaping up to be something truly "" phenomenal "" . this year ' s phenom promises an extraordinary experience as we proudly announce our partnership with mooley manay estate , situated near the beautiful backwaters of the harangi reservoir in coorg , karnataka . producers komal and akshay dashrath have masterfully embraced a data - driven approach to farming and coffee processing . their unwavering belief in the pivotal role of data in optimizing agricultural techniques and ensuring the utmost quality in coffee production is truly inspiring . this coffee is a 64 hours yeast inoculated - natural . the process begins with hand - picking ripe coffee cherries and floating them in water . ripe , denser cherries sink , while unripe or damaged ones float and are removed . the coffee is then placed in sealed tanks for a controlled , anaerobic fermentation lasting 64 hours , during which a custom yeast culture is introduced to the coffee . after fermentation , the coffee is transferred to a polyhouse and spread on raised drying beds . it is regularly raked to ensure even drying , which continues until the coffee reaches a specific moisture level ( around 12 - 11% ) . once dry , the coffee is bagged and stored for 2 months before further processing . facts : origin : mooleh manay estate altitude : 1000 masl varietal : sln - 6 process : 64 hours yeast inoculated - natural roast level : medium roast rite color ( whole bean ) : 64 roast rite color ( ground ) : 75 feels : tasting notes : pink guava , orange marmalade , plum and banana . acidity : juicy body : medium aftertaste : very long",india,2024-09-10 19:25:44.149554,2024-09-15 02:38:01.694048,"coorg , karnataka","dashrath , akshay , komal",,,juicy,"medium , juicy body",very long aftertaste
savorworks,Riverdale - Medium to Dark Roast,https://www.savorworksroasters.com/products/riverdale-medium-dark-roast,525,,,washed,riverdale,MEDIUM_DARK,"nougat , mosambi , cherry , black raisin and cashew nut","we are thrilled to announce that the new harvest of riverdale coffee beans has finally arrived , and it ' s time to savor the rich flavors that await you . riverdale estate holds a special place in our hearts as it marks the very beginning of savorworks . it is where our journey began , and it ' s an honor to bring you the fruits of our labor from this remarkable farm . the washed coffee from riverdale estate is where we started the savorworks journey . the beans have been roasted to the higher side of medium to bring out the notes of nougat , mosambi , cherry , black raisin and cashew nut . this one is perfect for espresso - based drinks , french press , and other immersion brews . feels : tasting notes : nougat , mosambi , cherry , black raisin and cashew nut acidity : citric body : heavy aftertaste : syrupy facts : roast rite color ( whole bean ) : 59 roast rite color ( ground ) : 66 roast level : medium dark free shipping pan india on all coffee",india,2024-09-10 19:25:44.149554,2024-09-15 02:38:01.694048,,,,,citric,"syrupy , heavy",syrupy aftertaste
bloom_coffee_roasters,baarbara estate - burundi washed - bababudangiri - medium light roast,https://bloomcoffeeroasters.in/collections/coffee/products/baarbara-estate-burundi-washed-bababudangiri-medium-light-roast,650,1500,"s795 , s795","burundi washed , burundi washed",baarbara,MEDIUM_LIGHT,"red grapes , sweet lime , hazelnuts","elevation : 1500 masl variety : s795 processing : burundi washed fermentation : two - stage anaerobic fermentation roast : medium - light producers : shreeraksha purnesh tasting notes : red grapes , sweet lime , hazelnuts sreeraksha is one of those planters without whom most coffee businesses will fail . he understands and supports , ensuring mutual success , not only does he produce incredible coffee , but he is also a fantastic person . the baarbara estate burundi washed is one of the most pleasant coffees we tasted this year , with its complex dual fermentation ( dry and wet ) and superbly focussed sorting and meticulous picking . this coffee is ' simply ' a delight . the roast profile is medium - light ; here , the longer development helps caramelise the sugars and make them easily soluble in the coffee . the complex fermentation brings out the flavours of red grapes , with the sweet acidity of sweet lime and a delicious hazelnutty aftertaste , making it a crowd - pleaser . this medium - light roast does well in both filter and espresso brews , and makes some smashing milk beverages",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,shreeraksha purnesh,,,sweet,,""
bloom_coffee_roasters,balanoor plantations - kents (washed) - chikmagalur - medium roast,https://bloomcoffeeroasters.in/collections/coffee/products/balanoor-plantations-kents-medium-roast,500,1173,"kents , kents","washed , washed",balanoor,MEDIUM,"chocolate , citrus fruits , and plum","elevation : 3850 ft . variety : kents processing : washed roast : medium tasting notes : chocolate , citrus fruits , and plum over the last 3 years , we have received some delicious excellent coffees from the wonderful people at balanoor plantations . they have been producing some of the finest speciality coffee in the country for a number of years , and they have undoubtedly given us some of our favourite washed coffees . the kents variety is found widely in indian coffee , and the work that the team at balanoor puts in really makes this delightful coffee . this is the third year we ' ve had this coffee , and somehow despite all the challenges , it just keeps getting better ! this medium roast has notes of rich milk chocolate , a subtle citrus acidity , and plum . this coffee is truly a delight , and is delicious black or with milk as a filter or an espresso ! yup , you heard it right : a coffee can be anything you want it to be",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,,,,citrus acidity,,""
